Loaded 10000 samples from ../../data/curve_beta/mpcno_curve_data_1.0_1.0_5_beta(0.5, 1.0)_panel_method_beta_random_panel_single.npz
Loaded 2000 samples from ../../data/curve_beta/mpcno_curve_data_1.0_1.0_5_beta(0.5, 1.0)_panel_method_beta_random_panel_two_curves.npz
x_train shape torch.Size([8000, 1000, 5]), x_test shape [torch.Size([1000, 1000, 5]), torch.Size([1000, 2000, 5])], y_train shape torch.Size([8000, 1000, 1]), y_test shape [torch.Size([1000, 1000, 1]), torch.Size([1000, 2000, 1])]
Domain range per dimension:  tensor([4.9995503425598145, 4.9999494552612305])
------Parameters------
kmax = 16
n_train = 8000, n_test = 1000
L = 10
Shape of Fourier modes:  (544, 2, 1)
layer_selection = {'grad': False, 'geo': False, 'geointegral': True}
layers = [64, 64, 64, 64, 64, 64]
activation = gelu
geo_activation = softsign
batch_size 8 

In MPCNO_train, ndims =  2
Epoch :  48  Time:  19.285  Rel. Train L2 Loss :  0.03696886386722326  Rel. Test L2 Loss :  {'Default': 0.04038747794926167, 'Two Circles': 0.18148730981349945}  Test L2 Loss :  {'Default': 0.16053024369478225, 'Two Circles': 1.3571286268234253}  inv_L_scale:  [1.0, 1.0]
Epoch :  49  Time:  19.427  Rel. Train L2 Loss :  0.037061760008335116  Rel. Test L2 Loss :  {'Default': 0.0405840255767107, 'Two Circles': 0.19573365378379823}  Test L2 Loss :  {'Default': 0.1605913691520691, 'Two Circles': 1.4878905057907104}  inv_L_scale:  [1.0, 1.0]
Epoch :  50  Time:  19.451  Rel. Train L2 Loss :  0.03711104056984186  Rel. Test L2 Loss :  {'Default': 0.038270334273576734, 'Two Circles': 0.18854285275936128}  Test L2 Loss :  {'Default': 0.15032923090457917, 'Two Circles': 1.4258758063316346}  inv_L_scale:  [1.0, 1.0]
Epoch :  51  Time:  19.447  Rel. Train L2 Loss :  0.036409505585208536  Rel. Test L2 Loss :  {'Default': 0.03651571507751942, 'Two Circles': 0.19901820051670074}  Test L2 Loss :  {'Default': 0.1489479816555977, 'Two Circles': 1.5163505892753602}  inv_L_scale:  [1.0, 1.0]
Epoch :  52  Time:  19.409  Rel. Train L2 Loss :  0.036077366642653944  Rel. Test L2 Loss :  {'Default': 0.040428935825824734, 'Two Circles': 0.20359373539686204}  Test L2 Loss :  {'Default': 0.15761065769195556, 'Two Circles': 1.5333341450691222}  inv_L_scale:  [1.0, 1.0]
Epoch :  53  Time:  19.458  Rel. Train L2 Loss :  0.03640157054364681  Rel. Test L2 Loss :  {'Default': 0.045725900173187256, 'Two Circles': 0.19786806964874268}  Test L2 Loss :  {'Default': 0.18017768937349318, 'Two Circles': 1.4984253716468812}  inv_L_scale:  [1.0, 1.0]
Epoch :  54  Time:  19.409  Rel. Train L2 Loss :  0.03605770894698799  Rel. Test L2 Loss :  {'Default': 0.039286484196782115, 'Two Circles': 0.2017364218235016}  Test L2 Loss :  {'Default': 0.1586514469385147, 'Two Circles': 1.5347161326408387}  inv_L_scale:  [1.0, 1.0]
Epoch :  55  Time:  19.41  Rel. Train L2 Loss :  0.03576986796781421  Rel. Test L2 Loss :  {'Default': 0.05146913865208626, 'Two Circles': 0.20637277042865754}  Test L2 Loss :  {'Default': 0.19994538712501525, 'Two Circles': 1.5651982727050782}  inv_L_scale:  [1.0, 1.0]
Epoch :  56  Time:  19.453  Rel. Train L2 Loss :  0.036674248088151215  Rel. Test L2 Loss :  {'Default': 0.03882078233361244, 'Two Circles': 0.20487447249889373}  Test L2 Loss :  {'Default': 0.15843263083696366, 'Two Circles': 1.5586630392074585}  inv_L_scale:  [1.0, 1.0]
Epoch :  57  Time:  19.43  Rel. Train L2 Loss :  0.0347133685965091  Rel. Test L2 Loss :  {'Default': 0.039988788783550264, 'Two Circles': 0.19355527514219284}  Test L2 Loss :  {'Default': 0.1569526674747467, 'Two Circles': 1.458469780921936}  inv_L_scale:  [1.0, 1.0]
Epoch :  58  Time:  19.455  Rel. Train L2 Loss :  0.03556614471040666  Rel. Test L2 Loss :  {'Default': 0.04696753808856011, 'Two Circles': 0.17807971054315566}  Test L2 Loss :  {'Default': 0.17736801034212113, 'Two Circles': 1.3331097750663756}  inv_L_scale:  [1.0, 1.0]
Epoch :  59  Time:  19.443  Rel. Train L2 Loss :  0.03571012547425926  Rel. Test L2 Loss :  {'Default': 0.041098158076405523, 'Two Circles': 0.1883839209675789}  Test L2 Loss :  {'Default': 0.15948033154010774, 'Two Circles': 1.4141694684028625}  inv_L_scale:  [1.0, 1.0]
Epoch :  60  Time:  19.416  Rel. Train L2 Loss :  0.034858262715861205  Rel. Test L2 Loss :  {'Default': 0.039403178215026854, 'Two Circles': 0.20307656806707383}  Test L2 Loss :  {'Default': 0.15360374873876573, 'Two Circles': 1.5449157791137695}  inv_L_scale:  [1.0, 1.0]
Epoch :  61  Time:  19.44  Rel. Train L2 Loss :  0.035634284503757954  Rel. Test L2 Loss :  {'Default': 0.037649159997701645, 'Two Circles': 0.19750507712364196}  Test L2 Loss :  {'Default': 0.14891850990056993, 'Two Circles': 1.4858071451187134}  inv_L_scale:  [1.0, 1.0]
Epoch :  62  Time:  19.452  Rel. Train L2 Loss :  0.03471324421092868  Rel. Test L2 Loss :  {'Default': 0.04854907500743866, 'Two Circles': 0.18571941083669663}  Test L2 Loss :  {'Default': 0.18769219559431077, 'Two Circles': 1.373789119720459}  inv_L_scale:  [1.0, 1.0]
Epoch :  63  Time:  19.434  Rel. Train L2 Loss :  0.035179484438151123  Rel. Test L2 Loss :  {'Default': 0.04378695017099381, 'Two Circles': 0.20122500294446946}  Test L2 Loss :  {'Default': 0.16672842478752137, 'Two Circles': 1.5027838993072509}  inv_L_scale:  [1.0, 1.0]
Epoch :  64  Time:  19.467  Rel. Train L2 Loss :  0.034258033165708184  Rel. Test L2 Loss :  {'Default': 0.03440708081424236, 'Two Circles': 0.18798365342617035}  Test L2 Loss :  {'Default': 0.13434922009706496, 'Two Circles': 1.4218556714057922}  inv_L_scale:  [1.0, 1.0]
Epoch :  65  Time:  19.516  Rel. Train L2 Loss :  0.03460667465999723  Rel. Test L2 Loss :  {'Default': 0.041439726144075394, 'Two Circles': 0.20983720195293426}  Test L2 Loss :  {'Default': 0.17351852351427077, 'Two Circles': 1.5911298089027406}  inv_L_scale:  [1.0, 1.0]
Epoch :  66  Time:  19.496  Rel. Train L2 Loss :  0.03410332459770143  Rel. Test L2 Loss :  {'Default': 0.03361958135664463, 'Two Circles': 0.1879109031558037}  Test L2 Loss :  {'Default': 0.1336043228507042, 'Two Circles': 1.4267778673171998}  inv_L_scale:  [1.0, 1.0]
