data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
(2490, 221, 51, 2) (2490, 221, 51, 2) (2490, 221, 51, 1)
x_train.shape: (1000, 11271, 6)
y_train.shape: (1000, 11271, 1)
rank:[32, 32, 32, 32]
TuckerGeoGkNO(
  (fc0): Linear(in_features=3, out_features=128, bias=True)
  (sp_convs): ModuleList(
    (0-3): 4 x TuckerGalerkinConv()
  )
  (ws): ModuleList(
    (0-3): 4 x Conv1d(128, 128, kernel_size=(1,), stride=(1,))
  )
  (fc1): Linear(in_features=128, out_features=128, bias=True)
  (fc2): Linear(in_features=128, out_features=1, bias=True)
)
In GeoFNO_train, ndim =  2
ep: 108  rel.train: 0.04466620290279388  rel.test: 0.04663999021053314  abs.test: 0.038540306091308596  time: 3.145019054412842
ep: 109  rel.train: 0.04348356151580811  rel.test: 0.04252808183431625  abs.test: 0.03513462841510773  time: 3.1444954872131348
ep: 110  rel.train: 0.043602923035621646  rel.test: 0.03761078119277954  abs.test: 0.031067070364952088  time: 3.144444465637207
ep: 111  rel.train: 0.04313198590278625  rel.test: 0.041747822761535644  abs.test: 0.03447226345539093  time: 3.14581298828125
ep: 112  rel.train: 0.045375921368598936  rel.test: 0.044794107973575595  abs.test: 0.0370030277967453  time: 3.1461029052734375
ep: 113  rel.train: 0.04209476333856583  rel.test: 0.039404257237911224  abs.test: 0.03254588335752487  time: 3.142090082168579
ep: 114  rel.train: 0.042794168770313265  rel.test: 0.04554274559020996  abs.test: 0.0376507517695427  time: 3.1441268920898438
ep: 115  rel.train: 0.040958801865577696  rel.test: 0.039756626784801484  abs.test: 0.032847875952720644  time: 3.141897201538086
ep: 116  rel.train: 0.042011438548564914  rel.test: 0.03900789588689804  abs.test: 0.032222253084182736  time: 3.1407809257507324
ep: 117  rel.train: 0.04230531752109527  rel.test: 0.03871108859777451  abs.test: 0.03197995364665985  time: 3.138958692550659
ep: 118  rel.train: 0.04017917847633362  rel.test: 0.03810140997171402  abs.test: 0.0314734748005867  time: 3.1400327682495117
ep: 119  rel.train: 0.04007370889186859  rel.test: 0.04394556820392609  abs.test: 0.036342736482620236  time: 3.1393027305603027
ep: 120  rel.train: 0.039751127302646634  rel.test: 0.04377946764230728  abs.test: 0.03617034822702408  time: 3.1387085914611816
ep: 121  rel.train: 0.04159342014789581  rel.test: 0.036573635637760164  abs.test: 0.030206500887870788  time: 3.1389005184173584
ep: 122  rel.train: 0.04019130516052246  rel.test: 0.04220542103052139  abs.test: 0.03487126082181931  time: 3.1386117935180664
ep: 123  rel.train: 0.040667673587799075  rel.test: 0.04549998492002487  abs.test: 0.0376300585269928  time: 3.1385884284973145
ep: 124  rel.train: 0.03994997644424438  rel.test: 0.04025029808282852  abs.test: 0.03324325293302536  time: 3.1383488178253174
ep: 125  rel.train: 0.04250781977176666  rel.test: 0.04090286135673523  abs.test: 0.033780432641506195  time: 3.1369516849517822
ep: 126  rel.train: 0.03957508230209351  rel.test: 0.04170257568359375  abs.test: 0.034452157318592073  time: 3.137361764907837
ep: 127  rel.train: 0.03918065083026886  rel.test: 0.039008584320545193  abs.test: 0.032235944867134096  time: 3.1375391483306885
ep: 128  rel.train: 0.03704163801670075  rel.test: 0.03602158308029175  abs.test: 0.029747662246227265  time: 3.1364402770996094
ep: 129  rel.train: 0.03918236035108566  rel.test: 0.03641841560602188  abs.test: 0.030084860026836396  time: 3.1356165409088135
ep: 130  rel.train: 0.03741904205083847  rel.test: 0.03845792233943939  abs.test: 0.03177346169948578  time: 3.142409086227417
ep: 131  rel.train: 0.03625087267160416  rel.test: 0.03963747948408127  abs.test: 0.032738137245178225  time: 3.1384618282318115
ep: 132  rel.train: 0.038386293053627014  rel.test: 0.03876138746738434  abs.test: 0.03200844645500183  time: 3.1401801109313965
ep: 133  rel.train: 0.03708723455667496  rel.test: 0.03771399468183517  abs.test: 0.031148695945739747  time: 3.1402854919433594
ep: 134  rel.train: 0.037612182557582856  rel.test: 0.03594786554574966  abs.test: 0.029685037732124327  time: 3.140186309814453
ep: 135  rel.train: 0.03560561919212341  rel.test: 0.03538579672574997  abs.test: 0.029221190214157103  time: 3.1419718265533447
ep: 136  rel.train: 0.03723718720674515  rel.test: 0.03781332552433014  abs.test: 0.03124153822660446  time: 3.141303777694702
ep: 137  rel.train: 0.03700003325939179  rel.test: 0.03545499294996261  abs.test: 0.029286027252674103  time: 3.1434779167175293
ep: 138  rel.train: 0.03639515894651413  rel.test: 0.036949874460697175  abs.test: 0.030535143315792084  time: 3.1445906162261963
ep: 139  rel.train: 0.03777118891477585  rel.test: 0.04127633213996887  abs.test: 0.034127291142940525  time: 3.1450538635253906
ep: 140  rel.train: 0.035101731657981874  rel.test: 0.031129379868507386  abs.test: 0.025711929500102995  time: 3.1450748443603516
ep: 141  rel.train: 0.03500847947597504  rel.test: 0.03652304738759995  abs.test: 0.03016797751188278  time: 3.1447644233703613
ep: 142  rel.train: 0.03453241711854935  rel.test: 0.03266416192054748  abs.test: 0.02698142170906067  time: 3.144761323928833
ep: 143  rel.train: 0.033226699709892275  rel.test: 0.03582001149654388  abs.test: 0.029591649174690246  time: 3.145925760269165
ep: 144  rel.train: 0.031833224833011625  rel.test: 0.03123622536659241  abs.test: 0.025811649411916732  time: 3.147099733352661
ep: 145  rel.train: 0.03443838620185852  rel.test: 0.030815736651420594  abs.test: 0.02546708345413208  time: 3.1487812995910645
ep: 146  rel.train: 0.03462838464975357  rel.test: 0.034165982902050016  abs.test: 0.028232193887233734  time: 3.1472275257110596
ep: 147  rel.train: 0.032654970049858095  rel.test: 0.03009145498275757  abs.test: 0.02486202448606491  time: 3.1476428508758545
ep: 148  rel.train: 0.0320822623372078  rel.test: 0.029730797410011292  abs.test: 0.02456695765256882  time: 3.1491477489471436
ep: 149  rel.train: 0.032212306380271914  rel.test: 0.033816261291503905  abs.test: 0.027943668812513353  time: 3.1497836112976074
ep: 150  rel.train: 0.03315523016452789  rel.test: 0.034753346741199495  abs.test: 0.028721426129341126  time: 3.150570869445801
ep: 151  rel.train: 0.034254684507846835  rel.test: 0.04066429615020752  abs.test: 0.03360643267631531  time: 3.1521503925323486
ep: 152  rel.train: 0.03162255102396011  rel.test: 0.030005300343036653  abs.test: 0.024780033975839614  time: 3.150679111480713
ep: 153  rel.train: 0.03268142282962799  rel.test: 0.03455527275800705  abs.test: 0.02855095058679581  time: 3.150507926940918
ep: 154  rel.train: 0.030694850623607637  rel.test: 0.02949206531047821  abs.test: 0.02436953440308571  time: 3.151624917984009
ep: 155  rel.train: 0.03130777233839035  rel.test: 0.030324897170066832  abs.test: 0.025076798647642135  time: 3.150618076324463
ep: 156  rel.train: 0.03175859296321869  rel.test: 0.031846778094768526  abs.test: 0.02631768345832825  time: 3.1497647762298584
ep: 157  rel.train: 0.02907473787665367  rel.test: 0.0394485667347908  abs.test: 0.03259399801492691  time: 3.150028944015503
ep: 158  rel.train: 0.03404293212294578  rel.test: 0.03368197411298752  abs.test: 0.02782692551612854  time: 3.1508471965789795
ep: 159  rel.train: 0.032948298037052154  rel.test: 0.028803057968616486  abs.test: 0.023807545006275178  time: 3.1504974365234375
ep: 160  rel.train: 0.030940312206745146  rel.test: 0.027759767472743987  abs.test: 0.022928634434938432  time: 3.151326894760132
ep: 161  rel.train: 0.02906038063764572  rel.test: 0.031659739911556246  abs.test: 0.026168757528066636  time: 3.149644613265991
ep: 162  rel.train: 0.030930408835411073  rel.test: 0.02977579653263092  abs.test: 0.024598551392555238  time: 3.149615526199341
